答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,答题时长,状态,Q1_您所在的公司？,Q2_请问您的年龄是？,Q3_您每次大约送外卖的距离？,Q4_请问您的月收入？,Q5_请问您每送一份大约能拿到的送餐费？,Q6_您每次送的外卖一般有多少塑料餐盒？,Q7_您每次送的外卖一般含有几个塑料袋？,Q8_您每次送的外卖大约有多少纸餐盒？,Q9_您送的外卖大多使用一次性餐具还是自己的餐具？,Q10_送至_______小区的外卖一个中午大约有多少单？,Q11_送至_______小区的外卖一个晚上大约有多少单？,Q12_请问您通常要送的地区最符合以下哪一种表述？_写字楼或办公室,Q12_请问您通常要送的地区最符合以下哪一种表述？_老旧住宅小区,Q12_请问您通常要送的地区最符合以下哪一种表述？_新建住宅小区,Q12_请问您通常要送的地区最符合以下哪一种表述？_学校或培训机构,Q13_请问您通常要送的地区最符合以下哪一种表述？
1,123.151.77.121,,,,,,,,,2018-01-07 20:06:54,2018-01-07 20:09:08,Chrome 57.0.2987.132,Android Linux 7.0,2分14秒,正常完成,饿了么,26－35岁, 2-3千米, 4000-5000元, 6-7元   , 3-5个, 1个, 1-3个, 一次性餐具, 小于20单, 小于20单, 写字楼或办公室,,,, 中年人为主的小区
2,106.119.10.147,,,,,,,,,2018-01-07 20:39:53,2018-01-07 20:42:27,Unknown Browser,iPhone iOS 11.1.1,2分34秒,正常完成,饿了么,25岁以下, 2-3千米, 5000元以上, 7元以上, 2-3个, 2-3个, 1-3个, 一次性餐具, 小于20单, 小于20单, 写字楼或办公室, 老旧住宅小区, 新建住宅小区, 学校或培训机构, 青年人为主的小区
3,123.151.77.121,,,,,,,,,2018-01-07 21:43:09,2018-01-07 21:45:26,Chrome 53.0.2785.49,Android Linux 6.0,2分17秒,正常完成,饿了么,26－35岁, 2-3千米, 5000元以上, 7元以上, 2-3个, 1个, 1-3个, 一次性餐具, 20-30单, 小于20单, 写字楼或办公室, 老旧住宅小区, 新建住宅小区, 学校或培训机构, 青年人为主的小区
4,123.151.77.91,,,,,,,,,2018-01-07 23:06:20,2018-01-07 23:26:10,Chrome 57.0.2987.132,Android Linux 7.1.1,19分50秒,正常完成,饿了么,26－35岁, 5千米以上, 5000元以上, 6-7元   , 3-5个, 1个, 1-3个, 一次性餐具, 小于20单, 小于20单, 写字楼或办公室,,, 学校或培训机构, 青年人为主的小区
5,61.148.244.63,,,,,,,,,2018-01-07 23:30:42,2018-01-07 23:31:56,Chrome 57.0.2987.132,Android Linux 6.0.1,1分14秒,正常完成,美团外卖,26－35岁, 3-5千米, 5000元以上, 7元以上, 2-3个, 2-3个, 1-3个, 不清楚, 小于20单, 小于20单, 写字楼或办公室, 老旧住宅小区, 新建住宅小区, 学校或培训机构, 青年人为主的小区
6,123.151.77.74,,,,,,,,,2018-01-07 23:30:02,2018-01-07 23:32:29,Chrome 57.0.2987.132,Android Linux 6.0,2分27秒,正常完成,美团外卖,25岁以下, 3-5千米, 5000元以上, 7元以上, 5个以上, 5个以上, 1-3个, 一次性餐具, 小于20单, 小于20单, 写字楼或办公室, 老旧住宅小区, 新建住宅小区, 学校或培训机构, 青年人为主的小区
7,125.39.46.47,,,,,,,,,2018-01-08 13:50:16,2018-01-08 13:52:36,Chrome 57.0.2987.132,Android Linux 6.0.1,2分20秒,正常完成,饿了么,26－35岁, 3-5千米, 5000元以上, 7元以上, 5个以上, 2-3个, 1-3个, 一次性餐具, 20-30单, 20-30单, 写字楼或办公室,,, 学校或培训机构, 青年人为主的小区
8,125.39.132.70,,,,,,,,,2018-01-08 13:59:52,2018-01-08 14:01:46,Chrome 57.0.2987.132,Android Linux 6.0,1分54秒,正常完成,饿了么,36－45岁, 5千米以上, 5000元以上, 7元以上, 2-3个, 1个, 1-3个, 一次性餐具, 小于20单, 小于20单, 写字楼或办公室,, 新建住宅小区, 学校或培训机构, 青年人为主的小区
9,61.148.244.236,,,,,,,,,2018-01-08 15:07:30,2018-01-08 15:09:03,Chrome 57.0.2987.132,Android Linux 6.0.1,1分33秒,正常完成,饿了么,25岁以下, 2-3千米, 5000元以上, 7元以上, 1个, 1个, 1-3个, 一次性餐具, 小于20单, 小于20单, 写字楼或办公室,,,, 青年人为主的小区
10,36.102.208.87,,,,,,,,,2018-01-08 15:23:17,2018-01-08 15:24:31,Chrome 53.0.2785.49,Android Linux 7.0,1分14秒,正常完成,饿了么,36－45岁, 3-5千米, 5000元以上, 7元以上, 2-3个, 1个, 1-3个, 一次性餐具, 小于20单, 小于20单, 写字楼或办公室,,,, 青年人为主的小区
