答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,答题时长,状态,Q1_您的性别,Q2_请问您的年龄是？,Q3_受教育程度,Q4_请问您的年收入？,Q5_请问您的工作单位是：,Q6_您平时订外卖的次数？,Q7_您通常定外卖的时间？_中午,Q7_您通常定外卖的时间？_晚上（晚餐时间）,Q7_您通常定外卖的时间？_夜宵,Q7_您通常定外卖的时间？_其他时间,Q8_您每次定外卖大约有多少塑料餐盒？,Q9_您每次定外卖大约有多少塑料袋？,Q10_您每次定外卖大约有多少纸餐盒？,Q11_您订外卖大多使用一次性餐具还是自己的餐具？,Q12_您订外卖通常有剩余餐食扔掉吗？,Q13_您订外卖通常有纸巾扔掉吗？,Q14_处理外卖垃圾时您有将垃圾分类的习惯吗？,Q15_处理外卖垃圾时您如何处理垃圾？
1,123.123.52.26,,,,,,,,,2018-01-03 21:43:10,2018-01-03 21:44:45,Chrome 47.0.2526.106,Windows 7,1分35秒,正常完成, 男,25岁以下, 高中及以下,  0-1万元   ,  其他, 一月一次或更低, 中午,,,, 2-3个, 1个, 1-3个, 自己的餐具, 留着继续吃或者当餐吃完, 留着继续用或者没有剩余, 偶尔, 一起扔掉，因为没有分类垃圾桶
2,223.72.94.230,,,,,微信,,,,2018-01-04 21:27:20,2018-01-04 21:28:50,Unknown Browser,iPhone iOS 10.0.3,1分30秒,正常完成, 女,36－45岁, 研究生及以上, 35万元以上,  其他, 每周一到四次,, 晚上（晚餐时间）,,, 3-5个, 1个, 1-3个, 自己的餐具, 留着继续吃或者当餐吃完, 留着继续用或者没有剩余, 很少, 一起扔掉，因为没有分类垃圾桶
3,117.136.0.161,,,,,微信,,,,2018-01-04 21:28:32,2018-01-04 21:29:22,Unknown Browser,iPhone iOS 10.3.1,0分50秒,正常完成, 男,25岁以下, 本科, 10万元到20万元    ,  私营, 一月一次或更低, 中午,,,, 2-3个, 1个, 1-3个, 一次性餐具, 留着继续吃或者当餐吃完, 留着继续用或者没有剩余, 偶尔, 有垃圾桶但是也一起扔掉
4,124.126.7.152,,,,,微信,,,,2018-01-04 21:29:09,2018-01-04 21:30:04,Unknown Browser,iPhone iOS 11.2.1,0分55秒,正常完成, 女,26－35岁, 研究生及以上,  1万元-10万元    ,  私营, 一月一次或更低, 中午,,,, 1个, 1个, 1-3个, 一次性餐具, 通常扔掉, 通常扔掉, 偶尔, 有垃圾桶但是也一起扔掉
5,114.243.168.243,,,,,微信,,,,2018-01-04 21:28:38,2018-01-04 21:30:11,Unknown Browser,iPhone iOS 11.1,1分33秒,正常完成, 女,26－35岁, 研究生及以上, 10万元到20万元    ,  合资（包括外商独资）, 一月一次或更低,, 晚上（晚餐时间）,,, 2-3个, 1个, 1-3个, 自己的餐具, 留着继续吃或者当餐吃完, 留着继续用或者没有剩余, 偶尔, 一起扔掉，因为没有分类垃圾桶
6,101.25.145.123,,,,,微信,,,,2018-01-04 21:31:16,2018-01-04 21:32:53,Unknown Browser,iPhone iOS 11.1.2,1分37秒,正常完成, 女,26－35岁, 本科, 10万元到20万元    ,  合资（包括外商独资）, 每周5-10次,, 晚上（晚餐时间）,, 其他时间, 2-3个, 1个, 1-3个, 一次性餐具, 通常扔掉, 留着继续用或者没有剩余, 从来没有, 一起扔掉，因为没有分类垃圾桶
7,123.151.77.132,,,,,微信,,,,2018-01-04 21:31:33,2018-01-04 21:33:09,Chrome 53.0.2785.49,Android Linux 7.0,1分36秒,正常完成, 男,26－35岁, 研究生及以上, 还没工作,  合资（包括外商独资）, 每周一到四次, 中午,,,, 2-3个, 1个, 1-3个, 自己的餐具, 留着继续吃或者当餐吃完, 留着继续用或者没有剩余, 很少, 一起扔掉，因为没有分类垃圾桶
8,61.148.244.170,,,,,微信,,,,2018-01-04 21:34:48,2018-01-04 21:36:07,Unknown Browser,iPhone iOS 10.3.3,1分19秒,正常完成, 男,26－35岁, 研究生及以上, 10万元到20万元    ,  合资（包括外商独资）, 每周一到四次, 中午, 晚上（晚餐时间）,,, 2-3个, 1个, 1-3个, 一次性餐具, 通常扔掉, 留着继续用或者没有剩余, 从来没有, 一起扔掉，因为没有分类垃圾桶
9,114.242.248.106,,,,,微信,,,,2018-01-04 21:37:01,2018-01-04 21:38:21,Unknown Browser,iPhone iOS 9.3.5,1分20秒,正常完成, 女,36－45岁, 本科,  0-1万元   ,  其他, 每周5-10次,, 晚上（晚餐时间）,,, 2-3个, 2-3个, 1-3个, 自己的餐具, 留着继续吃或者当餐吃完, 留着继续用或者没有剩余, 偶尔, 分类回收
10,123.151.77.72,,,,,微信,,,,2018-01-04 21:40:13,2018-01-04 21:41:45,Chrome 53.0.2785.49,Android Linux 4.4.2,1分32秒,正常完成, 女,46－60岁, 本科, 10万元到20万元    ,  合资（包括外商独资）, 一月一次或更低,,,, 其他时间, 1个, 1个, 1-3个, 自己的餐具, 留着继续吃或者当餐吃完, 留着继续用或者没有剩余, 很少, 一起扔掉，因为没有分类垃圾桶
